set,card
Zendikar Rising,Brightclimb Pathway // Grimclimb Pathway
Zendikar Rising,Clearwater Pathway // Murkwater Pathway
Zendikar Rising,Clearwater Pathway // Murkwater Pathway
Zendikar Rising,Cragcrown Pathway // Timbercrown Pathway
Zendikar Rising,Cragcrown Pathway // Timbercrown Pathway
Zendikar Rising,Needleverge Pathway // Pillarverge Pathway
Zendikar Rising,Needleverge Pathway // Pillarverge Pathway
Zendikar Rising,Needleverge Pathway // Pillarverge Pathway
Zendikar Rising,Needleverge Pathway // Pillarverge Pathway
Zendikar Rising,Riverglide Pathway // Lavaglide Pathway
Zendikar Rising,Riverglide Pathway // Lavaglide Pathway
Zendikar Rising,Kazandu Mammoth // Kazandu Valley
Zendikar Rising,Kazandu Mammoth // Kazandu Valley
Zendikar Rising,"Emeria's Call // Emeria, Shattered Skyclave"
Zendikar Rising,"Emeria's Call // Emeria, Shattered Skyclave"
Zendikar Rising,Ondu Inversion // Ondu Skyruins
Zendikar Rising,Ondu Inversion // Ondu Skyruins
Zendikar Rising,Glasspool Mimic // Glasspool Shore
Zendikar Rising,Glasspool Mimic // Glasspool Shore
Zendikar Rising,"Sea Gate Restoration // Sea Gate, Reborn"
Zendikar Rising,"Sea Gate Restoration // Sea Gate, Reborn"
Zendikar Rising,"Agadeem's Awakening // Agadeem, the Undercrypt"
Zendikar Rising,"Agadeem's Awakening // Agadeem, the Undercrypt"
Zendikar Rising,Hagra Mauling // Hagra Broodpit
Zendikar Rising,Hagra Mauling // Hagra Broodpit
Zendikar Rising,"Shatterskull Smashing // Shatterskull, the Hammer Pass"
Zendikar Rising,"Shatterskull Smashing // Shatterskull, the Hammer Pass"
Zendikar Rising,Valakut Awakening // Valakut Stoneforge
Zendikar Rising,Valakut Awakening // Valakut Stoneforge
Zendikar Rising,"Turntimber Symbiosis // Turntimber, Serpentine Wood"
Zendikar Rising,"Turntimber Symbiosis // Turntimber, Serpentine Wood"
Zendikar Rising,"Orah, Skyclave Hierophant"
Zendikar Rising,"Orah, Skyclave Hierophant"
Zendikar Rising,Roil Eruption
Zendikar Rising,Roiling Regrowth
Zendikar Rising,Kargan Warleader
